X,Y,Yaw
1.386231,-0.441952,-102.94039253619358
1.387214,-0.442463,-103.06190421928466
1.387361,-0.442457,-103.23078541457669
1.387944,-0.442828,-103.35699462723616
1.388531,-0.443292,-103.37102862523324
1.388291,-0.44308,-103.40072978526732
1.388877,-0.443539,-103.41578835262588
1.388328,-0.443225,-103.30559054622464
1.389133,-0.443646,-103.4620443838723
1.389743,-0.444122,-103.48205650203252
1.389354,-0.443739,-103.54433876839214
1.389953,-0.444187,-103.58114384349518
1.389608,-0.443854,-103.564857603009
1.389745,-0.443906,-103.58533899659145
1.390389,-0.444366,-103.61232603326648
1.390114,-0.444208,-103.58821814508886
1.390748,-0.444735,-103.58017812367684
1.390866,-0.444921,-103.56496939295742
1.390744,-0.444916,-103.5542776467189
1.391095,-0.445625,-103.47372459307842
1.390465,-0.445219,-104.79803939296582
1.391138,-0.445576,-104.86442271433371
1.391666,-0.445817,-104.85911301146858
1.392253,-0.446303,-104.85672053619447
1.392723,-0.44656,-104.82366347351198
1.393243,-0.446794,-104.71138384779832
1.393935,-0.447365,-104.68765640241509
1.394684,-0.447978,-104.61666625597336
1.395035,-0.447799,-104.47857382762268
1.395966,-0.448506,-104.16789261526952
1.396701,-0.448629,-103.69820360299607
1.397614,-0.448757,-102.97814176542846
1.398666,-0.448655,-102.05398976234386
1.400113,-0.448828,-100.88823851005851
1.402082,-0.449285,-99.49642210840284
1.403345,-0.449068,-97.8964812026342
1.405507,-0.449303,-96.1101996105555
1.406431,-0.448684,-93.95097677168708
1.408122,-0.448605,-91.81682285785564
1.410461,-0.448758,-89.50840774518502
1.410549,-0.447681,-86.93171696104618
1.414231,-0.448049,-85.42408058754923
1.414526,-0.450502,-85.32257456421127
1.415251,-0.451696,-85.31201133110007
1.416765,-0.452813,-85.50416994082028
1.416428,-0.45229,-84.97227958982975
1.418405,-0.452851,-85.18398076168269
1.419447,-0.452454,-85.03467271355935
1.421271,-0.451839,-84.95902481299552
1.42364,-0.451719,-84.97929337434857
1.425422,-0.450868,-84.8115723209061
1.427373,-0.449748,-84.84836906733385
1.429646,-0.449071,-84.70698742881234
1.432011,-0.44799,-84.69308381946396
1.434598,-0.447279,-84.61211061298376
1.435969,-0.445473,-84.33359198271286
1.438315,-0.444898,-83.98973793319075
1.440555,-0.444421,-83.54160100298847
1.442013,-0.443047,-83.10562561487085
1.444032,-0.442709,-82.56180739258271
1.444954,-0.441465,-81.95025391600346
1.446823,-0.441178,-81.3656983028211
1.447689,-0.439593,-80.70285432220057
1.449448,-0.439255,-80.06638768089941
1.450494,-0.43822,-79.40206942424595
1.45179,-0.437132,-78.71558362137533
1.453502,-0.436855,-78.09017256476484
1.454479,-0.435244,-77.44860657269173
1.455816,-0.434339,-76.94542123408179
1.457592,-0.434204,-76.5165977752747
1.458397,-0.43255,-76.09388737725092
1.460143,-0.432558,-75.77450490158148
1.46129,-0.43174,-75.4409508241625
1.461921,-0.430484,-75.14042245323597
1.463498,-0.430703,-74.80091070841533
