X,Y,Yaw
3.471499,-1.20101,-115.65544308845104
3.475356,-1.203131,-115.74362323966588
3.473216,-1.202079,-116.13393393779369
3.472293,-1.20139,-116.25882629593974
3.474953,-1.202862,-116.2763634862695
3.47031,-1.199912,-116.49274442678308
3.472265,-1.20092,-116.5099363203119
3.47108,-1.200209,-116.45871756848804
3.470408,-1.199647,-116.43335137234202
3.471872,-1.200221,-116.4512293118838
3.467612,-1.197312,-116.47950651152222
3.468657,-1.197532,-116.49714100706812
3.46747,-1.19653,-116.47514026444064
3.466765,-1.196358,-116.652720606098
3.467429,-1.196252,-116.67121702199452
3.465684,-1.194726,-116.57928897755914
3.466188,-1.194407,-116.59765680555076
3.465357,-1.193604,-116.64861647015584
3.464834,-1.19283,-116.69343281547494
3.465144,-1.192215,-116.71158973587131
3.463641,-1.191498,-116.3678003013433
3.463815,-1.190763,-116.3855265971152
3.463136,-1.190313,-116.25635945744402
3.462613,-1.189752,-116.18116365746477
3.462624,-1.18883,-116.1988530990989
3.461676,-1.189122,-116.02096704350524
3.461581,-1.18812,-116.03889494562492
3.460776,-1.187363,-115.91928393882831
3.460038,-1.186536,-115.82940116344172
3.459798,-1.185366,-115.84712112213604
3.458879,-1.185613,-115.670876025338
3.458531,-1.184378,-115.68900431368328
3.458016,-1.184098,-115.5970517420315
3.457848,-1.184044,-115.5603960376324
3.4574,-1.182691,-115.57833132234288
3.457292,-1.183606,-115.63982754364848
3.456774,-1.182176,-115.65866547174228
3.456221,-1.180671,-115.67669069227134
3.455918,-1.1817,-115.82184578608256
3.455258,-1.180113,-115.84022306526988
3.455277,-1.182129,-115.79001371846608
3.4545,-1.180526,-115.80852164369163
3.45368,-1.178845,-115.827211976036
3.453542,-1.179429,-115.67739897456865
3.452695,-1.177707,-115.69599639044388
3.452183,-1.178102,-115.45461074559444
3.451279,-1.176355,-115.47315906357024
3.450335,-1.174535,-115.49168008217646
3.449723,-1.174988,-115.34009535638964
3.448722,-1.173137,-115.35896823105448
3.448677,-1.174225,-115.15128505557831
3.447658,-1.172371,-115.17062766733488
3.446602,-1.170448,-115.1889589574425
3.446773,-1.17153,-114.92503401252463
3.445729,-1.169626,-114.94300505708988
3.444257,-1.168976,-115.17886168400608
3.443094,-1.166947,-115.19715622421522
3.442395,-1.166196,-115.11069046662897
3.441526,-1.16544,-115.12420186650608
3.440269,-1.163305,-115.14235687023256
3.440436,-1.164296,-114.93729475341782
3.439166,-1.162163,-114.95541789431736
3.439123,-1.162377,-114.86558867068176
3.439121,-1.162644,-114.75543177264986
3.437809,-1.160488,-114.77375786244173
3.439607,-1.163671,-114.56831790925828
3.438329,-1.161577,-114.58611767292574
3.438506,-1.162259,-114.58670267957032
3.438601,-1.162454,-114.6130427068957
3.437284,-1.160311,-114.63140705892602
3.437896,-1.162008,-114.5184452580791
3.436559,-1.159871,-114.53635307930524
3.435192,-1.15767,-114.55382160389368
3.436325,-1.160197,-114.48600517212216
3.434943,-1.158013,-114.5039379404152
3.434908,-1.158428,-114.43607299122615
3.43488,-1.158978,-114.34865362220287
3.433486,-1.156788,-114.36690100247549
3.434205,-1.158382,-114.32462582083802
3.432817,-1.15619,-114.342658984356
3.43241,-1.155922,-114.28098880350184
3.432051,-1.155504,-114.21733359766569
3.431688,-1.155233,-114.15929606514165
3.431917,-1.155422,-114.1278499803811
3.430524,-1.153197,-114.14592338819604
3.430954,-1.154414,-114.02871400491648
3.429559,-1.15219,-114.0463763633666
3.428607,-1.151735,-114.202549281364
3.428614,-1.152241,-114.26174658595556
3.427101,-1.149921,-114.2795699970924
3.427419,-1.151582,-114.3672750551756
3.425833,-1.149231,-114.38585817057728
3.424216,-1.146815,-114.40407727724596
3.425177,-1.148845,-114.2768674180777
3.423554,-1.146447,-114.2956605507862
3.426213,-1.150047,-114.1730792927658
3.424669,-1.147714,-114.19079267868864
3.424201,-1.147404,-114.18907636835688
3.424033,-1.147308,-114.17137589220046
3.422447,-1.144911,-114.18922562679587
3.42364,-1.147171,-114.15832758426563
3.422048,-1.144782,-114.17645700988216
3.421694,-1.144655,-114.14561259387172
3.421447,-1.144529,-114.10087334494926
3.419817,-1.142093,-114.11908896923082
3.421089,-1.144563,-113.99738992323952
3.419462,-1.14216,-114.01524538426484
3.419321,-1.14227,-113.96689310581716
3.419194,-1.142231,-113.92516639605856
3.41755,-1.139797,-113.94359051557652
3.419531,-1.143145,-113.84554672689144
3.417914,-1.140764,-113.86311936808208
3.417974,-1.141072,-113.86837796218308
3.418055,-1.14125,-113.87143490294648
3.41642,-1.138828,-113.88953896804344
3.41911,-1.142987,-113.86768297207752
3.417504,-1.140616,-113.88547390240184
3.417539,-1.140952,-113.91984424471718
3.417683,-1.141218,-113.9196689335804
3.416068,-1.138806,-113.93796528666088
3.417936,-1.141402,-113.7934429145136
3.416358,-1.139023,-113.81172080708208
3.416391,-1.139287,-113.74795261233218
3.419133,-1.142396,-113.61844898438208
3.417649,-1.140079,-113.63596908581458
3.421922,-1.1455013333333335,-113.95694214692938
3.426195,-1.1509236666666667,-113.87801626633656
3.430468,-1.156346,-112.15244219182344
3.429506,-1.154582,-112.16940500553028
3.429979,-1.154571,-112.40265423273162
3.430503,-1.154487,-112.56576284496386
3.42957,-1.152619,-112.58296916257925
3.430717,-1.154455,-112.65839620183242
3.429806,-1.152587,-112.6749828263208
3.430333,-1.153317,-112.69654074771414
3.430894,-1.153777,-112.72900847693982
3.430012,-1.151885,-112.74585420400496
3.431273,-1.154057,-112.89839715206573
3.430388,-1.152167,-112.91546198468772
3.430953,-1.153268,-113.07885735454228
3.433509,-1.1564895,-113.08501645724358
3.436065,-1.159711,-112.62028571649805
3.435363,-1.158005,-112.6357135547948
3.435347,-1.158249,-112.80857792617928
3.434607,-1.156477,-112.8255069695118
3.433774,-1.156061,-113.08030303692212
3.437442,-1.16127,-112.76907141605956
3.436734,-1.159567,-112.78666611570726
3.43707,-1.16053,-112.87030083440246
3.436335,-1.158799,-112.8864814919316
